,city_name,district_name,avg_demand_baseline,demand_target,lat,long,pred
0,KOTA ADMINISTRASI JAKARTA BARAT,CENGKARENG,57,85.5,-6.137270,106.715359,3
1,KOTA ADMINISTRASI JAKARTA BARAT,CENGKARENG,33,49.5,-6.138586,106.729305,4
2,KOTA ADMINISTRASI JAKARTA BARAT,CENGKARENG,25,37.5,-6.171504,106.705650,4
3,KOTA ADMINISTRASI JAKARTA BARAT,CENGKARENG,40,60.0,-6.161334,106.729452,4
4,KOTA ADMINISTRASI JAKARTA BARAT,GROGOL PETAMBURAN,153,229.5,-6.159495,106.789742,2
5,KOTA ADMINISTRASI JAKARTA BARAT,GROGOL PETAMBURAN,34,51.0,-6.148955,106.778679,4
6,KOTA ADMINISTRASI JAKARTA BARAT,GROGOL PETAMBURAN,21,31.5,-6.159660,106.777429,4
7,KOTA ADMINISTRASI JAKARTA BARAT,GROGOL PETAMBURAN,50,75.0,-6.179290,106.780589,3
8,KOTA ADMINISTRASI JAKARTA BARAT,GROGOL PETAMBURAN,32,48.0,-6.175165,106.775789,4
9,KOTA ADMINISTRASI JAKARTA BARAT,GROGOL PETAMBURAN,101,151.5,-6.172825,106.787879,0
10,KOTA ADMINISTRASI JAKARTA BARAT,TAMAN SARI,53,79.5,-6.144660,106.809052,3
11,KOTA ADMINISTRASI JAKARTA BARAT,TAMAN SARI,37,55.5,-6.144960,106.813542,4
12,KOTA ADMINISTRASI JAKARTA BARAT,TAMAN SARI,7,10.5,-6.136439,106.808351,4
13,KOTA ADMINISTRASI JAKARTA BARAT,TAMAN SARI,19,28.5,-6.146166,106.810598,4
14,KOTA ADMINISTRASI JAKARTA BARAT,TAMBORA,23,34.5,-6.159104,106.800387,4
15,KOTA ADMINISTRASI JAKARTA BARAT,TAMBORA,10,15.0,-6.159104,106.800387,4
16,KOTA ADMINISTRASI JAKARTA BARAT,TAMBORA,5,7.5,-6.145065,106.799402,4
17,KOTA ADMINISTRASI JAKARTA BARAT,KEBON JERUK,112,168.0,-6.176295,106.766009,0
18,KOTA ADMINISTRASI JAKARTA BARAT,KEBON JERUK,221,331.5,-6.194490,106.752612,5
19,KOTA ADMINISTRASI JAKARTA BARAT,KEBON JERUK,101,151.5,-6.181745,106.741147,0
20,KOTA ADMINISTRASI JAKARTA BARAT,KEBON JERUK,73,109.5,-6.167440,106.743747,3
21,KOTA ADMINISTRASI JAKARTA BARAT,KEBON JERUK,129,193.5,-6.209665,106.759694,2
22,KOTA ADMINISTRASI JAKARTA BARAT,KEBON JERUK,63,94.5,-6.209260,106.768591,3
23,KOTA ADMINISTRASI JAKARTA BARAT,KEBON JERUK,84,126.0,-6.220676,106.762633,0
24,KOTA ADMINISTRASI JAKARTA BARAT,KALIDERES,89,133.5,-6.136145,106.673794,0
25,KOTA ADMINISTRASI JAKARTA BARAT,KALIDERES,58,87.0,-6.166199,106.685141,3
26,KOTA ADMINISTRASI JAKARTA BARAT,KALIDERES,30,45.0,-6.116068,106.699046,4
27,KOTA ADMINISTRASI JAKARTA BARAT,PALMERAH,34,51.0,-6.178104,106.794013,4
28,KOTA ADMINISTRASI JAKARTA BARAT,PALMERAH,89,133.5,-6.189695,106.781589,0
29,KOTA ADMINISTRASI JAKARTA BARAT,PALMERAH,57,85.5,-6.186815,106.795027,3
30,KOTA ADMINISTRASI JAKARTA BARAT,PALMERAH,78,117.0,-6.183430,106.794767,0
31,KOTA ADMINISTRASI JAKARTA BARAT,PALMERAH,187,280.5,-6.190994,106.778821,5
32,KOTA ADMINISTRASI JAKARTA BARAT,PALMERAH,121,181.5,-6.195358,106.797499,0
33,KOTA ADMINISTRASI JAKARTA BARAT,KEMBANGAN,84,126.0,-6.218534,106.703780,0
34,KOTA ADMINISTRASI JAKARTA BARAT,KEMBANGAN,70,105.0,-6.184618,106.702400,3
35,KOTA ADMINISTRASI JAKARTA BARAT,KEMBANGAN,61,91.5,-6.171750,106.726377,3
36,KOTA ADMINISTRASI JAKARTA BARAT,KEMBANGAN,25,37.5,-6.206715,106.715253,4
37,KOTA ADMINISTRASI JAKARTA BARAT,KEMBANGAN,71,106.5,-6.171750,106.726377,3
38,KOTA ADMINISTRASI JAKARTA BARAT,KEMBANGAN,34,51.0,-6.209520,106.737373,4
39,KOTA ADMINISTRASI JAKARTA SELATAN,CILANDAK,202,303.0,-6.290330,106.780315,5
40,KOTA ADMINISTRASI JAKARTA SELATAN,CILANDAK,87,130.5,-6.272585,106.796767,0
41,KOTA ADMINISTRASI JAKARTA SELATAN,CILANDAK,191,286.5,-6.271475,106.782649,5
42,KOTA ADMINISTRASI JAKARTA SELATAN,CILANDAK,154,231.0,-6.302668,106.760906,2
43,KOTA ADMINISTRASI JAKARTA SELATAN,CILANDAK,101,151.5,-6.309162,106.777886,0
44,KOTA ADMINISTRASI JAKARTA SELATAN,JAGAKARSA,59,88.5,-6.333450,106.793105,3
45,KOTA ADMINISTRASI JAKARTA SELATAN,JAGAKARSA,87,130.5,-6.330415,106.790358,0
46,KOTA ADMINISTRASI JAKARTA SELATAN,JAGAKARSA,101,151.5,-6.323325,106.818853,0
47,KOTA ADMINISTRASI JAKARTA SELATAN,JAGAKARSA,34,51.0,-6.307100,106.839591,4
48,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,69,103.5,-6.261101,106.796164,3
49,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,72,108.0,-6.256675,106.782189,3
50,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,12,18.0,-6.245399,106.782499,4
51,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,35,52.5,-6.246160,106.793979,4
52,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,47,70.5,-6.246160,106.793979,3
53,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,21,31.5,-6.236067,106.804084,4
54,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,83,124.5,-6.234491,106.797719,0
55,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,57,85.5,-6.226433,106.799745,3
56,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN LAMA,129,193.5,-6.238362,106.763624,2
57,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN LAMA,321,481.5,-6.229752,106.771375,1
58,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN LAMA,181,271.5,-6.216560,106.778196,2
59,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN LAMA,232,348.0,-6.253985,106.759986,5
60,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN LAMA,142,213.0,-6.244530,106.759968,2
61,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN LAMA,170,255.0,-6.275715,106.761033,2
62,KOTA ADMINISTRASI JAKARTA SELATAN,MAMPANG PRAPATAN,120,180.0,-6.264019,106.808639,0
63,KOTA ADMINISTRASI JAKARTA SELATAN,MAMPANG PRAPATAN,58,87.0,-6.233470,106.815662,3
64,KOTA ADMINISTRASI JAKARTA SELATAN,MAMPANG PRAPATAN,141,211.5,-6.250285,106.804463,2
65,KOTA ADMINISTRASI JAKARTA SELATAN,MAMPANG PRAPATAN,34,51.0,-6.246920,106.807919,4
66,KOTA ADMINISTRASI JAKARTA SELATAN,MAMPANG PRAPATAN,44,66.0,-6.249072,106.820218,3
67,KOTA ADMINISTRASI JAKARTA SELATAN,PANCORAN,45,67.5,-6.245223,106.845821,3
68,KOTA ADMINISTRASI JAKARTA SELATAN,PANCORAN,132,198.0,-6.256225,106.819059,2
69,KOTA ADMINISTRASI JAKARTA SELATAN,PANCORAN,165,247.5,-6.265287,106.821589,2
70,KOTA ADMINISTRASI JAKARTA SELATAN,PANCORAN,187,280.5,-6.257947,106.826089,5
71,KOTA ADMINISTRASI JAKARTA SELATAN,PANCORAN,51,76.5,-6.258810,106.846156,3
72,KOTA ADMINISTRASI JAKARTA SELATAN,PASAR MINGGU,51,76.5,-6.292285,106.795393,3
73,KOTA ADMINISTRASI JAKARTA SELATAN,PASAR MINGGU,45,67.5,-6.289066,106.822039,3
74,KOTA ADMINISTRASI JAKARTA SELATAN,PASAR MINGGU,30,45.0,-6.309289,106.822245,4
75,KOTA ADMINISTRASI JAKARTA SELATAN,PASAR MINGGU,99,148.5,-6.289815,106.830300,0
76,KOTA ADMINISTRASI JAKARTA SELATAN,PASAR MINGGU,87,130.5,-6.289815,106.830300,0
77,KOTA ADMINISTRASI JAKARTA SELATAN,PASAR MINGGU,101,151.5,-6.296828,106.803733,0
78,KOTA ADMINISTRASI JAKARTA SELATAN,PESANGGRAHAN,122,183.0,-6.270389,106.744128,0
79,KOTA ADMINISTRASI JAKARTA SELATAN,PESANGGRAHAN,101,151.5,-6.254297,106.737635,0
80,KOTA ADMINISTRASI JAKARTA SELATAN,PESANGGRAHAN,65,97.5,-6.243002,106.744922,3
81,KOTA ADMINISTRASI JAKARTA SELATAN,PESANGGRAHAN,53,79.5,-6.230204,106.731430,3
82,KOTA ADMINISTRASI JAKARTA SELATAN,PESANGGRAHAN,44,66.0,-6.235696,106.755003,3
83,KOTA ADMINISTRASI JAKARTA SELATAN,SETIABUDI,23,34.5,-6.207374,106.824357,4
84,KOTA ADMINISTRASI JAKARTA SELATAN,SETIABUDI,79,118.5,-6.219606,106.818639,0
85,KOTA ADMINISTRASI JAKARTA SELATAN,SETIABUDI,57,85.5,-6.222950,106.812545,3
86,KOTA ADMINISTRASI JAKARTA SELATAN,SETIABUDI,91,136.5,-6.212920,106.818531,0
87,KOTA ADMINISTRASI JAKARTA SELATAN,SETIABUDI,58,87.0,-6.216316,106.838252,3
88,KOTA ADMINISTRASI JAKARTA SELATAN,SETIABUDI,76,114.0,-6.211031,106.832864,3
89,KOTA ADMINISTRASI JAKARTA SELATAN,SETIABUDI,201,301.5,-6.221777,106.812836,5
90,KOTA ADMINISTRASI JAKARTA SELATAN,TEBET,88,132.0,-6.220386,106.849880,0
91,KOTA ADMINISTRASI JAKARTA SELATAN,TEBET,91,136.5,-6.219552,106.843873,0
92,KOTA ADMINISTRASI JAKARTA SELATAN,TEBET,68,102.0,-6.213313,106.842348,3
93,KOTA ADMINISTRASI JAKARTA SELATAN,TEBET,111,166.5,-6.232139,106.832328,0
94,KOTA ADMINISTRASI JAKARTA SELATAN,TEBET,68,102.0,-6.233777,106.839921,3
95,KOTA ADMINISTRASI JAKARTA SELATAN,TEBET,51,76.5,-6.233711,106.850790,3
96,KOTA ADMINISTRASI JAKARTA TIMUR,CAKUNG,91,163.8,-6.172401,106.915082,0
97,KOTA ADMINISTRASI JAKARTA TIMUR,CAKUNG,88,158.4,-6.173983,106.938474,0
98,KOTA ADMINISTRASI JAKARTA TIMUR,CAKUNG,102,183.6,-6.229275,106.858665,0
99,KOTA ADMINISTRASI JAKARTA TIMUR,CAKUNG,65,117.0,-6.205740,106.935653,3
100,KOTA ADMINISTRASI JAKARTA TIMUR,CIPAYUNG,12,21.6,-6.313470,106.886672,4
101,KOTA ADMINISTRASI JAKARTA TIMUR,CIPAYUNG,30,54.0,-6.310530,106.877128,4
102,KOTA ADMINISTRASI JAKARTA TIMUR,CIPAYUNG,8,14.4,-6.327558,106.867963,4
103,KOTA ADMINISTRASI JAKARTA TIMUR,CIPAYUNG,23,41.4,-6.312600,106.894420,4
104,KOTA ADMINISTRASI JAKARTA TIMUR,CIRACAS,22,39.6,-6.312600,106.894420,4
105,KOTA ADMINISTRASI JAKARTA TIMUR,CIRACAS,7,12.6,-6.355221,106.864577,4
106,KOTA ADMINISTRASI JAKARTA TIMUR,CIRACAS,5,9.0,-6.302965,106.858312,4
107,KOTA ADMINISTRASI JAKARTA TIMUR,DUREN SAWIT,123,221.4,-6.234365,106.907814,2
108,KOTA ADMINISTRASI JAKARTA TIMUR,DUREN SAWIT,87,156.6,-6.219300,106.891608,0
109,KOTA ADMINISTRASI JAKARTA TIMUR,DUREN SAWIT,54,97.2,-6.235135,106.891624,3
110,KOTA ADMINISTRASI JAKARTA TIMUR,DUREN SAWIT,120,216.0,-6.226110,106.934033,2
111,KOTA ADMINISTRASI JAKARTA TIMUR,JATINEGARA,54,97.2,-6.234489,106.857681,3
112,KOTA ADMINISTRASI JAKARTA TIMUR,JATINEGARA,84,151.2,-6.228735,106.872729,0
113,KOTA ADMINISTRASI JAKARTA TIMUR,JATINEGARA,43,77.4,-6.220207,106.871844,3
114,KOTA ADMINISTRASI JAKARTA TIMUR,JATINEGARA,57,102.6,-6.226720,106.880249,3
115,KOTA ADMINISTRASI JAKARTA TIMUR,JATINEGARA,81,145.8,-6.226720,106.880249,0
116,KOTA ADMINISTRASI JAKARTA TIMUR,KRAMAT JATI,56,100.8,-6.250920,106.858515,3
117,KOTA ADMINISTRASI JAKARTA TIMUR,KRAMAT JATI,12,21.6,-6.262300,106.854790,4
118,KOTA ADMINISTRASI JAKARTA TIMUR,KRAMAT JATI,11,19.8,-6.294560,106.869159,4
119,KOTA ADMINISTRASI JAKARTA TIMUR,KRAMAT JATI,75,135.0,-6.274750,106.847791,0
120,KOTA ADMINISTRASI JAKARTA TIMUR,MAKASSAR,33,59.4,-6.265675,106.876009,4
121,KOTA ADMINISTRASI JAKARTA TIMUR,MAKASSAR,17,30.6,-6.253650,106.869494,4
122,KOTA ADMINISTRASI JAKARTA TIMUR,MAKASSAR,57,102.6,-6.288705,106.876589,3
123,KOTA ADMINISTRASI JAKARTA TIMUR,MATRAMAN,44,79.2,-6.206336,106.846100,3
124,KOTA ADMINISTRASI JAKARTA TIMUR,MATRAMAN,91,163.8,-6.212030,106.868240,0
125,KOTA ADMINISTRASI JAKARTA TIMUR,MATRAMAN,43,77.4,-6.203845,106.859664,3
126,KOTA ADMINISTRASI JAKARTA TIMUR,MATRAMAN,35,63.0,-6.196230,106.859044,4
127,KOTA ADMINISTRASI JAKARTA TIMUR,PASAR REBO,31,55.8,-6.322202,106.849384,4
128,KOTA ADMINISTRASI JAKARTA TIMUR,PASAR REBO,50,90.0,-6.338655,106.832500,3
129,KOTA ADMINISTRASI JAKARTA TIMUR,PASAR REBO,72,129.6,-6.338655,106.832500,0
130,KOTA ADMINISTRASI JAKARTA TIMUR,PULOGADUNG,40,72.0,-6.208050,106.882409,3
131,KOTA ADMINISTRASI JAKARTA TIMUR,PULOGADUNG,7,12.6,-6.208545,106.872479,4
132,KOTA ADMINISTRASI JAKARTA TIMUR,PULOGADUNG,61,109.8,-6.190791,106.874076,3
133,KOTA ADMINISTRASI JAKARTA TIMUR,PULOGADUNG,20,36.0,-6.190791,106.874076,4
134,KOTA ADMINISTRASI JAKARTA UTARA,CILINCING,15,27.0,-6.127580,106.904645,4
135,KOTA ADMINISTRASI JAKARTA UTARA,CILINCING,7,12.6,-6.102352,106.905295,4
136,KOTA ADMINISTRASI JAKARTA UTARA,CILINCING,12,21.6,-6.111433,106.939757,4
137,KOTA ADMINISTRASI JAKARTA UTARA,KELAPA GADING,272,489.6,-6.155737,106.876650,1
138,KOTA ADMINISTRASI JAKARTA UTARA,KELAPA GADING,227,408.6,-6.166809,106.893570,5
139,KOTA ADMINISTRASI JAKARTA UTARA,KELAPA GADING,201,361.8,-6.166809,106.893570,5
140,KOTA ADMINISTRASI JAKARTA UTARA,KOJA,51,91.8,-6.160256,106.896985,3
141,KOTA ADMINISTRASI JAKARTA UTARA,KOJA,23,41.4,-6.131495,106.889091,4
142,KOTA ADMINISTRASI JAKARTA UTARA,KOJA,12,21.6,-6.130718,106.890813,4
143,KOTA ADMINISTRASI JAKARTA UTARA,PADEMANGAN,111,199.8,-6.122963,106.805285,0
144,KOTA ADMINISTRASI JAKARTA UTARA,PADEMANGAN,198,356.4,-6.136845,106.829179,5
145,KOTA ADMINISTRASI JAKARTA UTARA,PADEMANGAN,187,336.6,-6.140633,106.832224,5
146,KOTA ADMINISTRASI JAKARTA UTARA,PENJARINGAN,151,271.8,-6.114500,106.711882,2
147,KOTA ADMINISTRASI JAKARTA UTARA,PENJARINGAN,104,187.2,-6.121007,106.746293,0
148,KOTA ADMINISTRASI JAKARTA UTARA,PENJARINGAN,202,363.6,-6.116941,106.690497,5
149,KOTA ADMINISTRASI JAKARTA UTARA,PENJARINGAN,243,437.4,-6.109606,106.767115,1
150,KOTA ADMINISTRASI JAKARTA UTARA,TANJUNG PRIOK,39,70.2,-6.119901,106.884550,3
151,KOTA ADMINISTRASI JAKARTA UTARA,TANJUNG PRIOK,110,198.0,-6.119901,106.884550,0
152,KOTA ADMINISTRASI JAKARTA UTARA,TANJUNG PRIOK,65,117.0,-6.151207,106.857054,3
153,KOTA ADMINISTRASI JAKARTA UTARA,TANJUNG PRIOK,35,63.0,-6.127664,106.835559,4
154,KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,75,112.5,-6.179535,106.854934,3
155,KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,87,130.5,-6.177274,106.862732,0
156,KOTA ADMINISTRASI JAKARTA PUSAT,CEMPAKA PUTIH,77,115.5,-6.190919,106.856577,3
157,KOTA ADMINISTRASI JAKARTA PUSAT,GAMBIR,102,153.0,-6.175322,106.798613,0
158,KOTA ADMINISTRASI JAKARTA PUSAT,GAMBIR,98,147.0,-6.171504,106.799957,0
159,KOTA ADMINISTRASI JAKARTA PUSAT,GAMBIR,12,18.0,-6.163934,106.815963,4
160,KOTA ADMINISTRASI JAKARTA PUSAT,GAMBIR,35,52.5,-6.174660,106.807534,4
161,KOTA ADMINISTRASI JAKARTA PUSAT,GAMBIR,33,49.5,-6.165393,106.811262,4
162,KOTA ADMINISTRASI JAKARTA PUSAT,JOHAR BARU,12,18.0,-6.176175,106.850932,4
163,KOTA ADMINISTRASI JAKARTA PUSAT,JOHAR BARU,86,129.0,-6.183050,106.845544,0
164,KOTA ADMINISTRASI JAKARTA PUSAT,JOHAR BARU,11,16.5,-6.180945,106.844082,4
165,KOTA ADMINISTRASI JAKARTA PUSAT,KEMAYORAN,64,96.0,-6.167950,106.855194,3
166,KOTA ADMINISTRASI JAKARTA PUSAT,KEMAYORAN,59,88.5,-6.162425,106.835617,3
167,KOTA ADMINISTRASI JAKARTA PUSAT,KEMAYORAN,25,37.5,-6.162425,106.835617,4
168,KOTA ADMINISTRASI JAKARTA PUSAT,KEMAYORAN,234,351.0,-6.162769,106.824154,5
169,KOTA ADMINISTRASI JAKARTA PUSAT,KEMAYORAN,34,51.0,-6.162909,106.863515,4
170,KOTA ADMINISTRASI JAKARTA PUSAT,KEMAYORAN,76,114.0,-6.164655,106.849472,3
171,KOTA ADMINISTRASI JAKARTA PUSAT,MENTENG,221,331.5,-6.192060,106.830466,5
172,KOTA ADMINISTRASI JAKARTA PUSAT,MENTENG,101,151.5,-6.192140,106.821649,0
173,KOTA ADMINISTRASI JAKARTA PUSAT,MENTENG,141,211.5,-6.184865,106.822309,2
174,KOTA ADMINISTRASI JAKARTA PUSAT,MENTENG,212,318.0,-6.195169,106.820605,5
175,KOTA ADMINISTRASI JAKARTA PUSAT,MENTENG,94,141.0,-6.201669,106.839211,0
176,KOTA ADMINISTRASI JAKARTA PUSAT,SAWAH BESAR,58,87.0,-6.150412,106.829777,3
177,KOTA ADMINISTRASI JAKARTA PUSAT,SAWAH BESAR,43,64.5,-6.153960,106.824787,3
178,KOTA ADMINISTRASI JAKARTA PUSAT,SAWAH BESAR,80,120.0,-6.142170,106.819051,0
179,KOTA ADMINISTRASI JAKARTA PUSAT,SAWAH BESAR,76,114.0,-6.166340,106.825129,3
180,KOTA ADMINISTRASI JAKARTA PUSAT,SENEN,54,81.0,-6.182720,106.842267,3
181,KOTA ADMINISTRASI JAKARTA PUSAT,SENEN,46,69.0,-6.182855,106.835717,3
182,KOTA ADMINISTRASI JAKARTA PUSAT,SENEN,100,150.0,-6.184885,106.827887,0
183,KOTA ADMINISTRASI JAKARTA PUSAT,TANAH ABANG,217,325.5,-6.208804,106.799994,5
184,KOTA ADMINISTRASI JAKARTA PUSAT,TANAH ABANG,79,118.5,-6.215480,106.793292,0
185,KOTA ADMINISTRASI JAKARTA PUSAT,TANAH ABANG,45,67.5,-6.185295,106.807314,3
186,KOTA ADMINISTRASI JAKARTA PUSAT,TANAH ABANG,240,360.0,-6.207670,106.807536,5
187,KOTA ADMINISTRASI JAKARTA PUSAT,TANAH ABANG,99,148.5,-6.190625,106.807264,0
188,KOTA ADMINISTRASI JAKARTA PUSAT,TANAH ABANG,37,55.5,-6.196830,106.807479,4
189,KOTA ADMINISTRASI JAKARTA PUSAT,TANAH ABANG,154,231.0,-6.196374,106.796252,2
